round,machine,source,note
437,3,lottotapa,
438,3,lottotapa,
439,3,lottotapa,
440,2,lottotapa,
441,2,lottotapa,
442,2,lottotapa,
443,2,lottotapa,
444,1,lottotapa,
445,1,lottotapa,
446,1,lottotapa,
447,1,lottotapa,
448,3,lottotapa,
449,3,lottotapa,
450,3,lottotapa,
451,3,lottotapa,
452,3,lottotapa,
453,2,lottotapa,
454,2,lottotapa,
455,2,lottotapa,
456,2,lottotapa,
457,1,lottotapa,
458,1,lottotapa,
459,1,lottotapa,
460,1,lottotapa,
461,2,lottotapa,
462,2,lottotapa,
463,2,lottotapa,
464,2,lottotapa,
465,2,lottotapa,
466,1,lottotapa,
467,1,lottotapa,
468,1,lottotapa,
469,1,lottotapa,
470,3,lottotapa,
471,3,lottotapa,
472,3,lottotapa,
473,3,lottotapa,
474,3,lottotapa,
475,2,lottotapa,
476,2,lottotapa,
477,2,lottotapa,
478,2,lottotapa,
479,1,lottotapa,
480,1,lottotapa,
481,1,lottotapa,
482,1,lottotapa,
483,3,lottotapa,
484,3,lottotapa,
485,3,lottotapa,
486,3,lottotapa,
487,3,lottotapa,
488,2,lottotapa,
489,2,lottotapa,
490,2,lottotapa,
491,2,lottotapa,
492,1,lottotapa,
493,1,lottotapa,
494,1,lottotapa,
495,1,lottotapa,
496,3,lottotapa,
497,3,lottotapa,
498,3,lottotapa,
499,3,lottotapa,
500,3,lottotapa,
501,2,lottotapa,
502,2,lottotapa,
503,2,lottotapa,
504,2,lottotapa,
505,3,lottotapa,
506,3,lottotapa,
507,3,lottotapa,
508,3,lottotapa,
509,2,lottotapa,
510,2,lottotapa,
511,2,lottotapa,
512,2,lottotapa,
513,2,lottotapa,
514,3,lottotapa,
515,3,lottotapa,
516,3,lottotapa,
517,3,lottotapa,
518,1,lottotapa,
519,1,lottotapa,
520,1,lottotapa,
521,1,lottotapa,
522,2,lottotapa,
523,2,lottotapa,
524,2,lottotapa,
525,2,lottotapa,
526,2,lottotapa,
527,3,lottotapa,
528,3,lottotapa,
529,3,lottotapa,
530,3,lottotapa,
531,2,lottotapa,
532,2,lottotapa,
533,2,lottotapa,
534,2,lottotapa,
535,2,lottotapa,
536,2,lottotapa,
537,2,lottotapa,
538,2,lottotapa,
539,2,lottotapa,
540,3,lottotapa,
541,3,lottotapa,
542,3,lottotapa,
543,3,lottotapa,
544,1,lottotapa,
545,1,lottotapa,
546,1,lottotapa,
547,1,lottotapa,
548,1,lottotapa,
549,1,lottotapa,
550,1,lottotapa,
551,1,lottotapa,
552,1,lottotapa,
553,3,lottotapa,
554,3,lottotapa,
555,3,lottotapa,
556,3,lottotapa,
557,1,lottotapa,
558,1,lottotapa,
559,1,lottotapa,
560,1,lottotapa,
561,1,lottotapa,
562,3,lottotapa,
563,3,lottotapa,
564,3,lottotapa,
565,3,lottotapa,
566,3,lottotapa,
567,3,lottotapa,
568,3,lottotapa,
569,3,lottotapa,
570,3,lottotapa,
571,3,lottotapa,
572,3,lottotapa,
573,3,lottotapa,
574,3,lottotapa,
575,2,lottotapa,
576,2,lottotapa,
577,2,lottotapa,
578,2,lottotapa,
579,3,lottotapa,
580,3,lottotapa,
581,3,lottotapa,
582,3,lottotapa,
583,3,lottotapa,
584,3,lottotapa,
585,3,lottotapa,
586,3,lottotapa,
587,3,lottotapa,
588,3,lottotapa,
589,3,lottotapa,
590,3,lottotapa,
591,3,lottotapa,
592,3,lottotapa,
593,3,lottotapa,
594,3,lottotapa,
595,3,lottotapa,
596,3,lottotapa,
597,3,lottotapa,
598,3,lottotapa,
599,3,lottotapa,
600,3,lottotapa,
601,3,lottotapa,
602,3,lottotapa,
603,3,lottotapa,
604,3,lottotapa,
605,2,lottotapa,
606,2,lottotapa,
607,2,lottotapa,
608,2,lottotapa,
609,1,lottotapa,
610,1,lottotapa,
611,1,lottotapa,
612,1,lottotapa,
613,1,lottotapa,
614,3,lottotapa,
615,3,lottotapa,
616,3,lottotapa,
617,3,lottotapa,
618,2,lottotapa,
619,2,lottotapa,
620,2,lottotapa,
621,2,lottotapa,
622,2,lottotapa,
623,2,lottotapa,
624,2,lottotapa,
625,2,lottotapa,
626,2,lottotapa,
627,2,lottotapa,
628,2,lottotapa,
629,2,lottotapa,
630,2,lottotapa,
631,3,lottotapa,
632,3,lottotapa,
633,3,lottotapa,
634,3,lottotapa,
635,3,lottotapa,
636,3,lottotapa,
637,1,lottotapa,
638,1,lottotapa,
639,1,lottotapa,
640,2,lottotapa,
641,2,lottotapa,
642,2,lottotapa,
643,2,lottotapa,
644,3,lottotapa,
645,3,lottotapa,
646,3,lottotapa,
647,3,lottotapa,
648,3,lottotapa,
649,3,lottotapa,
650,3,lottotapa,
651,3,lottotapa,
652,3,lottotapa,
653,1,lottotapa,
654,1,lottotapa,
655,1,lottotapa,
656,1,lottotapa,
657,2,lottotapa,
658,2,lottotapa,
659,2,lottotapa,
660,2,lottotapa,
661,2,lottotapa,
662,2,lottotapa,
663,2,lottotapa,
664,2,lottotapa,
665,2,lottotapa,
666,2,lottotapa,
667,2,lottotapa,
668,2,lottotapa,
669,2,lottotapa,
670,2,lottotapa,
671,2,lottotapa,
672,2,lottotapa,
673,2,lottotapa,
674,3,lottotapa,
675,3,lottotapa,
676,3,lottotapa,
677,3,lottotapa,
678,3,lottotapa,
679,3,lottotapa,
680,3,lottotapa,
681,3,lottotapa,
682,3,lottotapa,
683,3,lottotapa,
684,3,lottotapa,
685,3,lottotapa,
686,3,lottotapa,
687,3,lottotapa,
688,3,lottotapa,
689,3,lottotapa,
690,3,lottotapa,
691,3,lottotapa,
692,3,lottotapa,
693,3,lottotapa,
694,3,lottotapa,
695,3,lottotapa,
696,3,lottotapa,
697,3,lottotapa,
698,3,lottotapa,
699,3,lottotapa,
700,3,lottotapa,
701,3,lottotapa,
702,3,lottotapa,
703,3,lottotapa,
704,3,lottotapa,
705,3,lottotapa,
706,3,lottotapa,
707,3,lottotapa,
708,3,lottotapa,
709,3,lottotapa,
710,3,lottotapa,
711,3,lottotapa,
712,3,lottotapa,
713,3,lottotapa,
714,3,lottotapa,
715,3,lottotapa,
716,3,lottotapa,
717,3,lottotapa,
718,3,lottotapa,
719,3,lottotapa,
720,3,lottotapa,
721,3,lottotapa,
722,3,lottotapa,
723,3,lottotapa,
724,3,lottotapa,
725,3,lottotapa,
726,3,lottotapa,
727,3,lottotapa,
728,3,lottotapa,
729,3,lottotapa,
730,3,lottotapa,
731,3,lottotapa,
732,3,lottotapa,
733,3,lottotapa,
734,3,lottotapa,
735,3,lottotapa,
736,3,lottotapa,
737,3,lottotapa,
738,3,lottotapa,
739,3,lottotapa,
740,1,lottotapa,
741,1,lottotapa,
742,1,lottotapa,
743,1,lottotapa,
744,2,lottotapa,
745,2,lottotapa,
746,2,lottotapa,
747,2,lottotapa,
748,1,lottotapa,
749,1,lottotapa,
750,1,lottotapa,
751,1,lottotapa,
752,1,lottotapa,
753,3,lottotapa,
754,3,lottotapa,
755,3,lottotapa,
756,3,lottotapa,
757,1,lottotapa,
758,1,lottotapa,
759,1,lottotapa,
760,1,lottotapa,
761,2,lottotapa,
762,2,lottotapa,
763,2,lottotapa,
764,2,lottotapa,
765,2,lottotapa,
766,1,lottotapa,
767,1,lottotapa,
768,1,lottotapa,
769,1,lottotapa,
770,3,lottotapa,
771,3,lottotapa,
772,3,lottotapa,
773,3,lottotapa,
774,3,lottotapa,
775,2,lottotapa,
776,2,lottotapa,
777,2,lottotapa,
778,2,lottotapa,
779,1,lottotapa,
780,1,lottotapa,
781,1,lottotapa,
782,1,lottotapa,
783,3,lottotapa,
784,3,lottotapa,
785,3,lottotapa,
786,3,lottotapa,
787,3,lottotapa,
788,2,lottotapa,
789,2,lottotapa,
790,2,lottotapa,
791,2,lottotapa,
792,3,lottotapa,
793,3,lottotapa,
794,3,lottotapa,
795,3,lottotapa,
796,2,lottotapa,
797,2,lottotapa,
798,2,lottotapa,
799,2,lottotapa,
800,2,lottotapa,
801,1,lottotapa,
802,1,lottotapa,
803,1,lottotapa,
804,1,lottotapa,
805,3,lottotapa,
806,3,lottotapa,
807,3,lottotapa,
808,3,lottotapa,
809,2,lottotapa,
810,2,lottotapa,
811,2,lottotapa,
812,2,lottotapa,
813,2,lottotapa,
814,1,lottotapa,
815,1,lottotapa,
816,1,lottotapa,
817,1,lottotapa,
818,3,lottotapa,
819,3,lottotapa,
820,3,lottotapa,
821,3,lottotapa,
822,2,lottotapa,
823,2,lottotapa,
824,2,lottotapa,
825,2,lottotapa,
826,2,lottotapa,
827,1,lottotapa,
828,1,lottotapa,
829,1,lottotapa,
830,1,lottotapa,
831,3,lottotapa,
832,3,lottotapa,
833,3,lottotapa,
834,3,lottotapa,
835,2,lottotapa,
836,3,lottotapa,
837,3,lottotapa,
838,3,lottotapa,
839,3,lottotapa,
840,1,lottotapa,
841,1,lottotapa,
842,1,lottotapa,
843,1,lottotapa,
844,2,lottotapa,
845,2,lottotapa,
846,2,lottotapa,
847,2,lottotapa,
848,3,lottotapa,
849,3,lottotapa,
850,3,lottotapa,
851,3,lottotapa,
852,3,lottotapa,
853,1,lottotapa,
854,1,lottotapa,
855,1,lottotapa,
856,1,lottotapa,
857,2,lottotapa,
858,2,lottotapa,
859,2,lottotapa,
860,2,lottotapa,
861,3,lottotapa,
862,3,lottotapa,
863,3,lottotapa,
864,3,lottotapa,
865,3,lottotapa,
866,1,lottotapa,
867,1,lottotapa,
868,1,lottotapa,
869,1,lottotapa,
870,2,lottotapa,
871,2,lottotapa,
872,2,lottotapa,
873,2,lottotapa,
874,2,lottotapa,
875,3,lottotapa,
876,3,lottotapa,
877,3,lottotapa,
878,3,lottotapa,
879,1,lottotapa,
880,1,lottotapa,
881,1,lottotapa,
882,1,lottotapa,
883,2,lottotapa,
884,2,lottotapa,
885,2,lottotapa,
886,2,lottotapa,
887,2,lottotapa,
888,3,lottotapa,
889,3,lottotapa,
890,3,lottotapa,
891,3,lottotapa,
892,1,lottotapa,
893,1,lottotapa,
894,1,lottotapa,
895,1,lottotapa,
896,2,lottotapa,
897,2,lottotapa,
898,2,lottotapa,
899,2,lottotapa,
900,2,lottotapa,
901,3,lottotapa,
902,3,lottotapa,
903,3,lottotapa,
904,3,lottotapa,
905,1,lottotapa,
906,1,lottotapa,
907,1,lottotapa,
908,1,lottotapa,
909,2,lottotapa,
910,2,lottotapa,
911,2,lottotapa,
912,2,lottotapa,
913,2,lottotapa,
914,2,lottotapa,
915,3,lottotapa,
916,3,lottotapa,
917,3,lottotapa,
918,1,lottotapa,
919,1,lottotapa,
920,1,lottotapa,
921,1,lottotapa,
922,2,lottotapa,
923,2,lottotapa,
924,2,lottotapa,
925,2,lottotapa,
926,2,lottotapa,
927,2,lottotapa,
928,3,lottotapa,
929,3,lottotapa,
930,3,lottotapa,
931,1,lottotapa,
932,1,lottotapa,
933,1,lottotapa,
934,1,lottotapa,
935,1,lottotapa,
936,2,lottotapa,
937,2,lottotapa,
938,2,lottotapa,
939,2,lottotapa,
940,3,lottotapa,
941,3,lottotapa,
942,3,lottotapa,
943,3,lottotapa,
944,1,lottotapa,
945,1,lottotapa,
946,1,lottotapa,
947,1,lottotapa,
948,1,lottotapa,
949,2,lottotapa,
950,2,lottotapa,
951,2,lottotapa,
952,2,lottotapa,
953,3,lottotapa,
954,3,lottotapa,
955,3,lottotapa,
956,3,lottotapa,
957,1,lottotapa,
958,1,lottotapa,
959,1,lottotapa,
960,1,lottotapa,
961,2,lottotapa,
962,2,lottotapa,
963,2,lottotapa,
964,2,lottotapa,
965,2,lottotapa,
966,3,lottotapa,
967,3,lottotapa,
968,3,lottotapa,
969,3,lottotapa,
970,1,lottotapa,
971,1,lottotapa,
972,1,lottotapa,
973,1,lottotapa,
974,1,lottotapa,
975,2,lottotapa,
976,2,lottotapa,
977,2,lottotapa,
978,2,lottotapa,
979,3,lottotapa,
980,3,lottotapa,
981,3,lottotapa,
982,3,lottotapa,
983,1,lottotapa,
984,1,lottotapa,
985,1,lottotapa,
986,1,lottotapa,
987,1,lottotapa,
988,2,lottotapa,
989,2,lottotapa,
990,2,lottotapa,
991,2,lottotapa,
992,3,lottotapa,
993,3,lottotapa,
994,3,lottotapa,
995,3,lottotapa,
996,2,lottotapa,
997,2,lottotapa,
998,2,lottotapa,
999,2,lottotapa,
1000,2,lottotapa,
1001,3,lottotapa,
1002,3,lottotapa,
1003,3,lottotapa,
1004,3,lottotapa,
1005,2,lottotapa,
1006,2,lottotapa,
1007,2,lottotapa,
1008,2,lottotapa,
1009,1,lottotapa,
1010,1,lottotapa,
1011,1,lottotapa,
1012,1,lottotapa,
1013,1,lottotapa,
1014,2,lottotapa,
1015,2,lottotapa,
1016,2,lottotapa,
1017,2,lottotapa,
1018,3,lottotapa,
1019,3,lottotapa,
1020,3,lottotapa,
1021,3,lottotapa,
1022,1,lottotapa,
1023,3,lottotapa,
1024,1,lottotapa,
1025,1,lottotapa,
1026,1,lottotapa,
1027,2,lottotapa,
1028,2,lottotapa,
1029,2,lottotapa,
1030,2,lottotapa,
1031,3,lottotapa,
1032,3,lottotapa,
1033,3,lottotapa,
1034,3,lottotapa,
1035,3,lottotapa,
1036,1,lottotapa,
1037,1,lottotapa,
1038,1,lottotapa,
1039,1,lottotapa,
1040,2,lottotapa,
1041,2,lottotapa,
1042,2,lottotapa,
1043,2,lottotapa,
1044,3,lottotapa,
1045,3,lottotapa,
1046,3,lottotapa,
1047,3,lottotapa,
1048,3,lottotapa,
1049,1,lottotapa,
1050,1,lottotapa,
1051,1,lottotapa,
1052,1,lottotapa,
1053,2,lottotapa,
1054,2,lottotapa,
1055,2,lottotapa,
1056,2,lottotapa,
1057,3,lottotapa,
1058,3,lottotapa,
1059,3,lottotapa,
1060,3,lottotapa,
1061,1,lottotapa,
1062,1,lottotapa,
1063,1,lottotapa,
1064,1,lottotapa,
1065,1,lottotapa,
1066,2,lottotapa,
1067,2,lottotapa,
1068,2,lottotapa,
1069,2,lottotapa,
1070,3,lottotapa,
1071,3,lottotapa,
1072,3,lottotapa,
1073,3,lottotapa,
1074,1,lottotapa,
1075,1,lottotapa,
1076,1,lottotapa,
1077,1,lottotapa,
1078,1,lottotapa,
1079,2,lottotapa,
1080,2,lottotapa,
1081,2,lottotapa,
1082,2,lottotapa,
1083,3,lottotapa,
1084,3,lottotapa,
1085,3,lottotapa,
1086,3,lottotapa,
1087,3,lottotapa,
1088,1,lottotapa,
1089,1,lottotapa,
1090,1,lottotapa,
1091,1,lottotapa,
1092,2,lottotapa,
1093,2,lottotapa,
1094,2,lottotapa,
1095,2,lottotapa,
1096,3,lottotapa,
1097,3,lottotapa,
1098,3,lottotapa,
1099,3,lottotapa,
1100,3,lottotapa,
1101,1,lottotapa,
1102,1,lottotapa,
1103,1,lottotapa,
1104,1,lottotapa,
1105,3,lottotapa,
1106,2,lottotapa,
1107,2,lottotapa,
1108,2,lottotapa,
1109,3,lottotapa,
1110,3,lottotapa,
1111,3,lottotapa,
1112,3,lottotapa,
1113,3,lottotapa,
1114,1,lottotapa,
1115,1,lottotapa,
1116,1,lottotapa,
1117,1,lottotapa,
1118,3,lottotapa,
1119,2,lottotapa,
1120,2,lottotapa,
1121,2,lottotapa,
1122,3,lottotapa,
1123,3,lottotapa,
1124,3,lottotapa,
1125,3,lottotapa,
1126,3,lottotapa,
1127,1,lottotapa,
1128,1,lottotapa,
1129,1,lottotapa,
1130,1,lottotapa,
1131,2,lottotapa,
1132,2,lottotapa,
1133,2,lottotapa,
1134,2,lottotapa,
1135,2,lottotapa,
1136,3,lottotapa,
1137,3,lottotapa,
1138,3,lottotapa,
1139,3,lottotapa,
1140,1,lottotapa,
1141,1,lottotapa,
1142,1,lottotapa,
1143,1,lottotapa,
1144,2,lottotapa,
1145,2,lottotapa,
1146,2,lottotapa,
1147,2,lottotapa,
1148,2,lottotapa,
1149,3,lottotapa,
1150,3,lottotapa,
1151,3,lottotapa,
1152,3,lottotapa,
1153,1,lottotapa,
1154,1,lottotapa,
1155,1,lottotapa,
1156,1,lottotapa,
1157,2,lottotapa,
1158,2,lottotapa,
1159,2,lottotapa,
1160,2,lottotapa,
1161,3,lottotapa,
1162,3,lottotapa,
1163,3,lottotapa,
1164,3,lottotapa,
1165,3,lottotapa,
1166,1,lottotapa,
1167,1,lottotapa,
1168,1,lottotapa,
1169,1,lottotapa,
1170,2,lottotapa,
1171,2,lottotapa,
1172,2,lottotapa,
1173,2,lottotapa,
1174,2,lottotapa,
1175,3,lottotapa,
1176,3,lottotapa,
1177,3,lottotapa,
1178,3,lottotapa,
1179,1,lottotapa,
1180,1,lottotapa,
1181,1,lottotapa,
1182,1,lottotapa,
1183,2,lottotapa,
1184,2,lottotapa,
1185,2,lottotapa,
1186,2,lottotapa,
1187,2,lottotapa,
1188,3,lottotapa,
1189,3,lottotapa,
1190,3,lottotapa,
1191,3,lottotapa,
1192,1,lottotapa,
1193,1,lottotapa,
1194,1,lottotapa,
1195,1,lottotapa,
1196,2,lottotapa,
1197,2,lottotapa,
1198,2,lottotapa,
1199,2,lottotapa,
1200,2,lottotapa,
1201,3,lottotapa,
1202,3,lottotapa,
1203,3,lottotapa,
1204,3,lottotapa,cafe=1(경계충돌)
1205,1,lottotapa,
1206,1,lottotapa,
1207,1,lottotapa,
1208,1,lottotapa,
1209,1,lottotapa,cafe=2(경계충돌)
1210,2,lottotapa,
1211,2,lottotapa,
1212,2,lottotapa,
1213,2,lottotapa,cafe=3(경계충돌)
1214,3,lottotapa,
1215,3,lottotapa,
1216,3,lottotapa,
1217,3,lottotapa,cafe=1(경계충돌)
1218,1,lottotapa,
1219,1,lottotapa,
1220,1,lottotapa,
1221,1,lottotapa,cafe=2(경계충돌)
1222,2,lottotapa,
1223,2,lottotapa,
1224,2,lottotapa,
1225,2,lottotapa,
1226,2,lottotapa,cafe=3(경계충돌)
1227,3,lottotapa,
1228,3,lottotapa,
1229,3,lottotapa,
1230,3,lottotapa,
